timestamp        , class_name, confidence, x1     , y1    , x2     , y2    , center_x, center_y, image_path
1776372450.523136, mouse     ,     0.5299,  403.06,  11.77, 1853.80, 714.81,  1128.43,   363.29, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_523_mouse_0.53.jpg
1776372450.614657, mouse     ,     0.6221,  403.74,  18.78, 1837.39, 718.88,  1120.56,   368.83, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_614_mouse_0.62.jpg
1776372450.707117, mouse     ,     0.4233,  403.10,  29.17, 1806.33, 729.06,  1104.71,   379.12, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_707_mouse_0.42.jpg
1776372450.799622, mouse     ,     0.6232,  401.14,  31.40, 1788.01, 735.32,  1094.57,   383.36, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_799_mouse_0.62.jpg
1776372450.891418, mouse     ,     0.5627,  395.27,  42.27, 1762.12, 745.28,  1078.70,   393.78, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_891_mouse_0.56.jpg
1776372450.982232, mouse     ,     0.5662,  565.74, 138.26, 1540.49, 778.56,  1053.11,   458.41, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-30_982_mouse_0.57.jpg
1776372451.075299, mouse     ,     0.5398,  566.51, 136.85, 1539.84, 777.66,  1053.18,   457.25, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_075_mouse_0.54.jpg
1776372451.168352, mouse     ,     0.6122,  566.01, 136.63, 1539.29, 774.69,  1052.65,   455.66, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_168_mouse_0.61.jpg
1776372451.261211, mouse     ,     0.8549,  568.06, 136.16, 1537.71, 770.75,  1052.88,   453.45, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_261_mouse_0.85.jpg
1776372451.355468, mouse     ,     0.8900,  572.64, 135.13, 1540.27, 765.86,  1056.46,   450.49, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_355_mouse_0.89.jpg
1776372451.447890, mouse     ,     0.8099,  578.36, 136.63, 1540.82, 764.80,  1059.59,   450.72, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_447_mouse_0.81.jpg
1776372451.542964, mouse     ,     0.8494,  576.18, 140.84, 1504.61, 751.99,  1040.40,   446.42, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_542_mouse_0.85.jpg
1776372451.647455, mouse     ,     0.8746,  573.76, 141.20, 1504.42, 753.75,  1039.09,   447.47, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_647_mouse_0.87.jpg
1776372451.741993, mouse     ,     0.8288,  573.43, 148.16, 1501.99, 755.06,  1037.71,   451.61, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_741_mouse_0.83.jpg
1776372451.835500, mouse     ,     0.8636,  574.66, 149.47, 1502.19, 757.86,  1038.42,   453.67, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_835_mouse_0.86.jpg
1776372451.929266, mouse     ,     0.8957,  575.40, 152.17, 1501.91, 758.93,  1038.66,   455.55, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-31_929_mouse_0.90.jpg
1776372452.023776, mouse     ,     0.8919,  590.66, 196.00, 1491.10, 791.25,  1040.88,   493.63, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_023_mouse_0.89.jpg
1776372452.117236, mouse     ,     0.8903,  590.75, 194.41, 1491.40, 793.83,  1041.07,   494.12, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_117_mouse_0.89.jpg
1776372452.210294, mouse     ,     0.8455,  589.39, 193.91, 1489.34, 794.21,  1039.37,   494.06, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_210_mouse_0.85.jpg
1776372452.302876, mouse     ,     0.9064,  592.73, 195.90, 1490.43, 794.29,  1041.58,   495.10, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_302_mouse_0.91.jpg
1776372452.396623, mouse     ,     0.8976,  589.41, 194.58, 1491.11, 796.26,  1040.26,   495.42, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_396_mouse_0.90.jpg
1776372452.489719, mouse     ,     0.9249,  588.34, 196.33, 1492.44, 795.48,  1040.39,   495.91, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_489_mouse_0.92.jpg
1776372452.582522, mouse     ,     0.9197,  591.33, 203.83, 1488.15, 797.00,  1039.74,   500.41, /home/conni/Documents/RoverTräff/rover-traeff/data/detections/live_phone_yolo/images/2026-04-16T22-47-32_582_mouse_0.92.jpg
