                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5014,                 3.7899,                 1.2359,                0.78702,                      1,                  0.995,                 0.2985,                 2.7676,                 8.6895,                0.97914,              0.0005517,              0.0005517,              0.0005517
                      2,                 1.5586,                 3.0343,                 1.2903,                0.96368,                      1,                  0.995,                0.24875,                 2.9725,                 10.537,                 1.0815,              0.0010525,              0.0010525,              0.0010525
                      3,                 1.5226,                 2.4826,                    1.3,                0.47776,                      1,                 0.4975,                0.26533,                 1.8883,                 12.055,                 0.9661,              0.0014984,              0.0014984,              0.0014984
                      4,                 1.5124,                 2.1925,                 1.2574,                0.96174,                      1,                  0.995,                 0.2985,                 2.6647,                 10.504,                 1.0455,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.4437,                 1.8895,                 1.2446,                0.96624,                      1,                  0.995,                  0.199,                 2.8355,                 8.8546,                 1.0704,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.3946,                 1.6704,                 1.2133,                0.95772,                      1,                  0.995,                  0.597,                 1.3045,                 8.6479,                0.86635,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.3525,                 1.5193,                 1.2036,                0.92839,                      1,                  0.995,                  0.597,                  1.942,                 7.3822,                0.89119,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.3285,                 1.3373,                 1.2014,                0.95047,                      1,                  0.995,                 0.6965,                 1.0969,                 3.9396,                0.84075,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.2821,                 1.2478,                 1.1863,                0.96626,                      1,                  0.995,                 0.2985,                 2.7031,                 5.8562,                0.93837,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.3096,                 1.1583,                 1.1568,                  0.952,                      1,                  0.995,                  0.199,                 3.2407,                 9.0819,                 1.0349,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.2072,                 1.1969,                 1.1339,                0.96347,                      1,                  0.995,                  0.597,                  1.644,                 5.8805,                0.85524,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1821,                  1.126,                 1.1499,                0.92597,                      1,                  0.995,                 0.8955,                 0.9071,                 4.7792,                 0.8314,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1388,                 1.0504,                 1.1033,                0.93997,                      1,                  0.995,                  0.597,                 1.9387,                 7.4027,                0.88592,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.1153,                0.96759,                 1.0879,                0.95747,                      1,                  0.995,                 0.6965,                 1.5451,                 6.1239,                0.85254,             0.00059429,             0.00059429,             0.00059429
                     15,                  1.098,                0.94635,                 1.0865,                0.95947,                      1,                  0.995,                  0.796,                 1.3362,                 4.2579,                0.84775,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0949,                0.89242,                 1.0679,                0.91087,                      1,                  0.995,                  0.597,                 1.7099,                 5.8209,                0.91996,             0.00042925,             0.00042925,             0.00042925
                     17,                  1.028,                0.88017,                  1.055,                0.95378,                      1,                  0.995,                 0.4975,                 2.1489,                 5.1497,                0.92313,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0209,                0.83507,                 1.0366,                0.93944,                      1,                  0.995,                 0.4975,                 2.0936,                 5.8985,                0.90487,             0.00026422,             0.00026422,             0.00026422
                     19,                0.95966,                  0.801,                 1.0211,                 0.9418,                      1,                  0.995,                  0.796,                 1.1652,                 4.3811,                0.85017,              0.0001817,              0.0001817,              0.0001817
                     20,                0.95782,                0.79457,                 1.0212,                0.92441,                      1,                  0.995,                  0.597,                 1.9057,                 4.9238,                0.91046,             9.9187e-05,             9.9187e-05,             9.9187e-05
