                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5487,                 3.8699,                 1.2827,                0.91752,                      1,                  0.995,                 0.4975,                 2.2718,                 4.6399,                0.98035,              0.0005517,              0.0005517,              0.0005517
                      2,                 1.7023,                 1.6515,                 1.4298,                0.43022,                      1,                 0.4975,                0.14925,                 2.8872,                  8.464,                 1.0112,              0.0010635,              0.0010635,              0.0010635
                      3,                 1.6165,                 1.3772,                 1.3922,                0.95121,                      1,                  0.995,                0.44775,                 1.4923,                 9.5994,                0.83716,              0.0015313,              0.0015313,              0.0015313
                      4,                 1.5709,                 1.2194,                 1.3579,                0.91865,                      1,                  0.995,                 0.4975,                 1.8691,                 8.7679,                0.86653,               0.001469,               0.001469,               0.001469
                      5,                 1.5298,                 1.1008,                 1.3232,                0.53468,                      1,                  0.995,                  0.398,                 2.7047,                 6.4961,                0.97491,              0.0014029,              0.0014029,              0.0014029
                      6,                 1.5498,                 1.0971,                 1.3417,                0.94911,                      1,                  0.995,                  0.199,                 3.2271,                 4.8592,                 1.0369,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.4583,                 1.0277,                    1.3,                0.93571,                      1,                  0.995,                 0.4975,                 2.0226,                 5.7632,                0.90183,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.4834,                0.97401,                 1.3217,                0.92779,                      1,                  0.995,                0.34825,                 2.1669,                 6.7832,                0.91137,              0.0012049,              0.0012049,              0.0012049
                      9,                 1.4175,                0.96475,                 1.2797,                0.95699,                      1,                  0.995,                 0.2985,                 2.6873,                 5.9345,                0.94332,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.4035,                 0.9022,                 1.2394,                0.95287,                      1,                  0.995,                  0.199,                 2.7178,                 8.2995,                0.99971,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.3418,                0.88682,                 1.2156,                0.95667,                      1,                  0.995,                  0.398,                 2.3904,                 4.5964,                0.90746,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.3354,                 0.8571,                 1.2216,                 0.9332,                      1,                  0.995,                 0.6965,                  1.441,                 6.2379,                0.84538,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.3038,                0.81568,                 1.1907,                 0.9525,                      1,                  0.995,                 0.4975,                 2.0027,                 5.0317,                0.86647,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.2259,                 0.7698,                 1.1791,                0.95205,                      1,                  0.995,                  0.796,                 1.0772,                 3.5284,                0.83177,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.2541,                0.79789,                 1.1586,                0.94261,                      1,                  0.995,                  0.796,                 1.0011,                 4.4798,                0.84185,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.2289,                0.73099,                 1.2158,                0.96396,                      1,                  0.995,                 0.4975,                 1.8817,                 5.5075,                0.86727,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.1973,                0.69651,                 1.1824,                0.95358,                      1,                  0.995,                 0.0995,                 3.5197,                 8.9809,                 1.1419,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.1433,                0.69266,                 1.1439,                0.94842,                      1,                  0.995,                  0.597,                 1.4337,                 4.0159,                0.85474,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.1398,                0.68948,                 1.1562,                0.91305,                      1,                  0.995,                  0.796,                 1.0319,                 4.8584,                0.86241,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.0991,                0.66025,                 1.1388,                0.88166,                      1,                  0.995,                 0.6965,                 1.6444,                 6.7517,                0.92682,             0.00041275,             0.00041275,             0.00041275
                     21,                  1.085,                0.66527,                 1.1266,                0.93396,                      1,                  0.995,                  0.597,                 1.4552,                 4.2672,                0.85747,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0451,                0.62688,                 1.1045,                0.94077,                      1,                  0.995,                  0.597,                  1.564,                 5.2539,                0.85987,             0.00028072,             0.00028072,             0.00028072
                     23,                0.99065,                0.58161,                 1.0797,                0.94553,                      1,                  0.995,                  0.796,                 1.2349,                 5.9169,                0.84183,             0.00021471,             0.00021471,             0.00021471
                     24,                0.95785,                0.58175,                 1.0708,                0.94044,                      1,                  0.995,                  0.796,                0.77679,                 4.7976,                0.83171,              0.0001487,              0.0001487,              0.0001487
                     25,                0.95972,                0.55558,                  1.049,                 0.9461,                      1,                  0.995,                 0.6965,                 1.1726,                 5.4026,                 0.8388,             8.2683e-05,             8.2683e-05,             8.2683e-05
