                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2266,                 1.5246,                 1.0563,                0.89155,                0.93959,                0.92982,                0.66393,                0.90054,                0.91099,                 0.8989,             0.00055496,             0.00055496,             0.00055496
                      2,                   1.09,                0.83881,                 1.0142,                0.88196,                0.95698,                 0.9653,                0.72421,                0.77734,                0.62468,                0.88448,              0.0010666,              0.0010666,              0.0010666
                      3,                 1.0431,                0.68355,                 1.0046,                0.91051,                0.96801,                0.97526,                0.76582,                0.73793,                0.55884,                 0.8654,              0.0015343,              0.0015343,              0.0015343
                      4,                  1.004,                0.61278,                0.99674,                0.86506,                 0.9596,                0.97419,                0.75816,                0.75453,                0.53945,                0.86871,               0.001469,               0.001469,               0.001469
                      5,                0.95253,                0.57241,                0.97508,                0.90433,                0.97217,                0.94999,                 0.7643,                0.70718,                0.52593,                0.86171,              0.0014029,              0.0014029,              0.0014029
                      6,                 0.9227,                 0.5412,                0.96204,                0.90768,                0.97688,                0.97857,                0.76782,                0.74007,                0.48245,                0.86331,              0.0013369,              0.0013369,              0.0013369
                      7,                0.90428,                0.52255,                0.95565,                 0.9243,                0.94559,                0.98291,                 0.7839,                0.67909,                0.44855,                0.85351,              0.0012709,              0.0012709,              0.0012709
                      8,                0.86324,                0.49707,                0.94048,                0.91125,                 0.9688,                0.98321,                0.79629,                0.64218,                0.43979,                0.84293,              0.0012049,              0.0012049,              0.0012049
                      9,                 0.8454,                0.48545,                0.93334,                0.88998,                 0.9755,                0.97585,                0.80964,                0.65726,                0.44749,                0.85037,              0.0011389,              0.0011389,              0.0011389
                     10,                0.82324,                0.47111,                0.92852,                0.89289,                0.97714,                0.98397,                0.78636,                0.71328,                0.44113,                0.85244,              0.0010729,              0.0010729,              0.0010729
                     11,                0.83771,                0.47064,                0.93375,                 0.9126,                0.98349,                0.98425,                0.78843,                0.69484,                0.43862,                 0.8517,              0.0010069,              0.0010069,              0.0010069
                     12,                 0.8082,                0.45553,                0.92287,                0.89344,                0.99039,                0.98479,                  0.822,                0.62639,                0.41739,                0.83896,             0.00094085,             0.00094085,             0.00094085
                     13,                0.77753,                0.44541,                0.91661,                0.90888,                0.97056,                0.98477,                0.78597,                0.72196,                 0.4261,                0.85243,             0.00087484,             0.00087484,             0.00087484
                     14,                0.76785,                 0.4389,                0.91326,                0.90899,                0.98348,                0.98691,                 0.7986,                0.67703,                0.41101,                0.84754,             0.00080883,             0.00080883,             0.00080883
                     15,                0.74743,                0.42737,                0.90584,                0.90771,                0.97363,                0.98138,                0.81413,                 0.6185,                0.39987,                0.83892,             0.00074282,             0.00074282,             0.00074282
                     16,                0.74472,                0.42032,                0.90023,                0.90207,                0.98215,                0.98265,                0.81811,                0.63894,                0.41589,                0.84542,              0.0006768,              0.0006768,              0.0006768
                     17,                0.72402,                0.40898,                0.89606,                0.91636,                0.97541,                0.98496,                0.81676,                0.63775,                0.41183,                0.83869,             0.00061079,             0.00061079,             0.00061079
                     18,                0.70144,                0.40018,                0.89101,                  0.909,                0.97714,                0.97597,                0.79933,                0.68563,                0.40583,                0.84738,             0.00054478,             0.00054478,             0.00054478
                     19,                0.68478,                0.38611,                0.87838,                0.91395,                0.98153,                0.98398,                0.82766,                0.60752,                0.38417,                0.83496,             0.00047876,             0.00047876,             0.00047876
                     20,                0.66072,                0.37798,                0.87764,                0.91097,                0.98419,                0.98663,                0.82525,                0.64742,                0.37496,                0.83907,             0.00041275,             0.00041275,             0.00041275
                     21,                0.66132,                0.37233,                0.87537,                0.92351,                0.97033,                0.98549,                0.81411,                0.63321,                0.38593,                0.84121,             0.00034674,             0.00034674,             0.00034674
                     22,                0.64221,                 0.3619,                0.87167,                 0.9211,                0.97358,                0.98436,                0.82204,                0.61734,                0.38093,                0.83422,             0.00028072,             0.00028072,             0.00028072
                     23,                 0.6282,                0.35297,                0.86804,                0.92317,                0.96636,                0.97503,                0.80983,                0.62072,                0.36946,                0.83998,             0.00021471,             0.00021471,             0.00021471
                     24,                0.60947,                0.34194,                0.85757,                0.90381,                0.95995,                0.97982,                0.82183,                0.62778,                0.36374,                0.83683,              0.0001487,              0.0001487,              0.0001487
                     25,                0.59352,                0.33554,                0.85394,                0.91349,                0.95205,                0.97554,                0.81105,                0.61304,                0.35965,                0.83745,             8.2683e-05,             8.2683e-05,             8.2683e-05
