                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86491,                 3.0154,                0.95566,                0.00667,                      1,                0.41417,                0.38108,                0.38024,                 2.7009,                0.84396,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4749,                 3.2792,                 1.2521,                0.00667,                      1,                0.66333,                  0.597,                0.45607,                 2.7132,                0.84634,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                0.92033,                 2.9013,                 1.0641,                0.00667,                      1,                0.82833,                0.67925,                0.54806,                 2.7103,                0.85227,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.5107,                 3.5623,                 1.2873,                0.00667,                      1,                0.82833,                0.67925,                0.67074,                 2.7213,                0.86188,             0.00013168,             0.00013168,             0.00013168
                      5,                0.70516,                 2.8402,                0.88847,                0.00667,                      1,                  0.995,                0.82083,                0.70532,                 2.7055,                0.85997,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.0334,                 3.2761,                 0.9978,                0.00667,                      1,                  0.995,                0.82083,                0.70532,                 2.7055,                0.85997,             0.00019822,             0.00019822,             0.00019822
                      7,                  1.151,                 2.7646,                 1.0177,                0.00667,                      1,                  0.995,                0.74617,                0.80575,                 2.7393,                0.87146,             0.00022911,             0.00022911,             0.00022911
                      8,                0.79384,                 2.5481,                 1.0015,                0.00667,                      1,                  0.995,                0.72134,                0.89646,                 2.7565,                0.87159,             0.00025842,             0.00025842,             0.00025842
                      9,                0.87819,                 2.7807,                0.88641,                0.00667,                      1,                  0.995,                0.72134,                0.89646,                 2.7565,                0.87159,             0.00028614,             0.00028614,             0.00028614
                     10,                0.97733,                 3.4882,                 1.0339,                0.00667,                      1,                  0.995,                0.67151,                0.84685,                 2.7089,                0.87177,             0.00031228,             0.00031228,             0.00031228
                     11,                0.62824,                 2.2964,                0.77767,                0.00667,                      1,                  0.995,                0.67151,                0.84685,                 2.7089,                0.87177,             0.00033684,             0.00033684,             0.00033684
                     12,                0.98611,                 2.4515,                 1.0174,                0.00667,                      1,                  0.995,                0.67151,                0.76802,                 2.7111,                0.85925,             0.00035981,             0.00035981,             0.00035981
                     13,                0.92742,                 2.3306,                0.93228,                0.00667,                      1,                  0.995,                0.67151,                0.76802,                 2.7111,                0.85925,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.1067,                 2.3834,                0.93974,                0.00667,                      1,                  0.995,                0.67151,                0.76802,                 2.7111,                0.85925,               0.000401,               0.000401,               0.000401
                     15,                0.68854,                  2.379,                0.98691,                0.00667,                      1,                  0.995,                0.74617,                0.80003,                 2.6052,                0.88654,             0.00041922,             0.00041922,             0.00041922
                     16,                0.67192,                 2.0226,                0.77172,                0.00667,                      1,                  0.995,                0.74617,                0.80003,                 2.6052,                0.88654,             0.00043586,             0.00043586,             0.00043586
                     17,                0.86784,                 2.0736,                0.89253,                0.00667,                      1,                  0.995,                0.74617,                0.80003,                 2.6052,                0.88654,             0.00045091,             0.00045091,             0.00045091
                     18,                  1.263,                 2.1785,                 1.1415,                0.00667,                      1,                  0.995,                0.84567,                0.61524,                 2.5217,                0.87387,             0.00046438,             0.00046438,             0.00046438
                     19,                 1.0108,                 1.7222,                0.85493,                0.00667,                      1,                  0.995,                0.84567,                0.61524,                 2.5217,                0.87387,             0.00047626,             0.00047626,             0.00047626
                     20,                0.95905,                 1.7106,                 1.0174,                0.00667,                      1,                  0.995,                0.84567,                0.61524,                 2.5217,                0.87387,             0.00048656,             0.00048656,             0.00048656
                     21,                 1.2897,                 1.9621,                0.96674,                0.00667,                      1,                0.82833,                  0.613,                 0.7396,                  2.458,                0.88658,             0.00049528,             0.00049528,             0.00049528
                     22,                 1.3033,                 1.6855,                0.99402,                0.00667,                      1,                0.82833,                  0.613,                 0.7396,                  2.458,                0.88658,             0.00050241,             0.00050241,             0.00050241
                     23,                 1.1864,                 1.8032,                 1.1118,                0.00667,                      1,                0.82833,                  0.613,                 0.7396,                  2.458,                0.88658,             0.00050796,             0.00050796,             0.00050796
                     24,                0.95696,                 1.7942,                 1.0583,                0.00667,                      1,                0.82833,                  0.613,                 0.7396,                  2.458,                0.88658,             0.00051192,             0.00051192,             0.00051192
                     25,                0.88682,                 1.6921,                 1.0256,                0.70544,                    0.5,                0.66167,                0.47984,                0.75402,                 2.3209,                 0.9143,              0.0005143,              0.0005143,              0.0005143
                     26,                0.94286,                 1.7935,                0.93721,                0.70544,                    0.5,                0.66167,                0.47984,                0.75402,                 2.3209,                 0.9143,              0.0005151,              0.0005151,              0.0005151
                     27,                 0.8227,                 1.6954,                0.91822,                0.70544,                    0.5,                0.66167,                0.47984,                0.75402,                 2.3209,                 0.9143,             0.00051431,             0.00051431,             0.00051431
                     28,                 0.8655,                 1.6608,                0.95643,                0.70544,                    0.5,                0.66167,                0.47984,                0.75402,                 2.3209,                 0.9143,             0.00051194,             0.00051194,             0.00051194
                     29,                0.96686,                 1.5339,                0.94294,                0.70544,                    0.5,                0.66167,                0.47984,                0.75402,                 2.3209,                 0.9143,             0.00050798,             0.00050798,             0.00050798
                     30,                 1.7369,                 3.1672,                 1.3283,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00050244,             0.00050244,             0.00050244
                     31,                 1.3249,                 1.8537,                 1.0728,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00049532,             0.00049532,             0.00049532
                     32,                0.84754,                 1.5652,                 0.9612,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00048661,             0.00048661,             0.00048661
                     33,                 1.3191,                 1.7597,                 1.1934,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00047632,             0.00047632,             0.00047632
                     34,                0.78781,                 1.4774,                0.86181,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00046444,             0.00046444,             0.00046444
                     35,                0.83509,                 1.5706,                0.92913,                0.80494,                    0.5,                  0.695,                0.51645,                0.84176,                 2.3317,                0.93918,             0.00045098,             0.00045098,             0.00045098
                     36,                0.83087,                 2.5324,                0.96306,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,             0.00043594,             0.00043594,             0.00043594
                     37,                0.96708,                  1.606,                0.96579,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,             0.00041931,             0.00041931,             0.00041931
                     38,                0.76388,                 1.6362,                0.91519,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,              0.0004011,              0.0004011,              0.0004011
                     39,                 1.0604,                 1.7006,                 1.2014,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,              0.0003813,              0.0003813,              0.0003813
                     40,                0.85375,                 1.4295,                0.82775,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,             0.00035992,             0.00035992,             0.00035992
                     41,                0.85794,                 1.4746,                0.87302,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,             0.00033696,             0.00033696,             0.00033696
                     42,                0.78347,                 1.7093,                0.87685,                0.91029,                    0.5,                  0.695,                0.51645,                0.98516,                 2.1444,                0.95443,             0.00031241,             0.00031241,             0.00031241
                     43,                0.71262,                 1.4919,                 0.9104,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00028628,             0.00028628,             0.00028628
                     44,                0.75528,                  1.386,                0.82214,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00025856,             0.00025856,             0.00025856
                     45,                0.65676,                 1.3358,                0.79641,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00022926,             0.00022926,             0.00022926
                     46,                 0.6107,                 1.3521,                 0.8926,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00019838,             0.00019838,             0.00019838
                     47,                0.72869,                 1.4562,                0.80652,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00016591,             0.00016591,             0.00016591
                     48,                0.67592,                 1.6039,                0.88926,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             0.00013186,             0.00013186,             0.00013186
                     49,                0.79177,                 1.5368,                0.91892,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                0.72026,                 1.3243,                0.84222,                      1,                0.95716,                  0.995,                0.57201,                0.98047,                 1.8012,                0.99503,             5.9004e-05,             5.9004e-05,             5.9004e-05
